original_line,processed
Sana çiçek veriyorum,"[{'input': 'Sana', 'root': 'sanmak', 'type': 'Verb'}, {'input': 'Sana', 'root': 'san', 'type': 'Noun'}, {'input': 'Sana', 'root': 'sen', 'type': 'Pronoun'}, {'input': 'Sana', 'root': 'Sana', 'type': 'Noun'}, {'input': 'çiçek', 'root': 'çiçek', 'type': 'Noun'}, {'input': 'çiçek', 'root': 'Çiçek', 'type': 'Noun'}, {'input': 'veriyorum', 'root': 'vermek', 'type': 'Verb'}]"
Özgürlük çiçeği,"[{'input': 'Özgürlük', 'root': 'özgürlük', 'type': 'Noun'}, {'input': 'Özgürlük', 'root': 'özgür', 'type': 'Adjective'}, {'input': 'çiçeği', 'root': 'çiçek', 'type': 'Noun'}, {'input': 'çiçeği', 'root': 'çiçek', 'type': 'Noun'}]"
Solmayana,"[{'input': 'Solmayana', 'root': 'solmak', 'type': 'Verb'}]"
Durmayan,"[{'input': 'Durmayan', 'root': 'durmak', 'type': 'Verb'}]"
Çoğalan.,"[{'input': 'Çoğalan', 'root': 'çoğalmak', 'type': 'Verb'}, {'input': 'Çoğalan', 'root': 'Çoğa', 'type': 'Noun'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
"çiçek ki,","[{'input': 'çiçek', 'root': 'çiçek', 'type': 'Noun'}, {'input': 'çiçek', 'root': 'Çiçek', 'type': 'Noun'}, {'input': 'ki', 'root': 'ki', 'type': 'Conjunction'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
Sevdikçe güzelleşir insan!,"[{'input': 'Sevdikçe', 'root': 'sevmek', 'type': 'Verb'}, {'input': 'güzelleşir', 'root': 'güzel', 'type': 'Adjective'}, {'input': 'güzelleşir', 'root': 'güzel', 'type': 'Adjective'}, {'input': 'güzelleşir', 'root': 'güzel', 'type': 'Noun'}, {'input': 'güzelleşir', 'root': 'güzel', 'type': 'Noun'}, {'input': 'insan', 'root': 'insan', 'type': 'Adjective'}, {'input': 'insan', 'root': 'İnsa', 'type': 'Noun'}, {'input': 'insan', 'root': 'insan', 'type': 'Noun'}, {'input': '!', 'root': '!', 'type': 'Punctuation'}]"
Sana çiçek...,"[{'input': 'Sana', 'root': 'sanmak', 'type': 'Verb'}, {'input': 'Sana', 'root': 'san', 'type': 'Noun'}, {'input': 'Sana', 'root': 'sen', 'type': 'Pronoun'}, {'input': 'Sana', 'root': 'Sana', 'type': 'Noun'}, {'input': 'çiçek', 'root': 'çiçek', 'type': 'Noun'}, {'input': 'çiçek', 'root': 'Çiçek', 'type': 'Noun'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}]"
Anneler Günümüz Kutlu Olsun,"[{'input': 'Anneler', 'root': 'Anne', 'type': 'Noun'}, {'input': 'Anneler', 'root': 'anne', 'type': 'Noun'}, {'input': 'Anneler', 'root': 'Anne', 'type': 'Noun'}, {'input': 'Anneler', 'root': 'anne', 'type': 'Noun'}, {'input': 'Günümüz', 'root': 'gün', 'type': 'Noun'}, {'input': 'Günümüz', 'root': 'günü', 'type': 'Noun'}, {'input': 'Kutlu', 'root': 'kutlu', 'type': 'Adjective'}, {'input': 'Kutlu', 'root': 'kut', 'type': 'Noun'}, {'input': 'Olsun', 'root': 'olmak', 'type': 'Verb'}]"
Anlamlı Kutsal Günde,"[{'input': 'Anlamlı', 'root': 'anlam', 'type': 'Noun'}, {'input': 'Kutsal', 'root': 'kutsal', 'type': 'Adjective'}, {'input': 'Kutsal', 'root': 'Kutsal', 'type': 'Noun'}, {'input': 'Kutsal', 'root': 'kut', 'type': 'Noun'}, {'input': 'Günde', 'root': 'günde', 'type': 'Adverb'}, {'input': 'Günde', 'root': 'gün', 'type': 'Noun'}]"
Aramızda Olmayan,"[{'input': 'Aramızda', 'root': 'ara', 'type': 'Noun'}, {'input': 'Aramızda', 'root': 'ara', 'type': 'Adjective'}, {'input': 'Olmayan', 'root': 'olmak', 'type': 'Verb'}]"
Sevgili Annelerimizle Birlikte,"[{'input': 'Sevgili', 'root': 'sevgili', 'type': 'Adjective'}, {'input': 'Sevgili', 'root': 'sevgili', 'type': 'Noun'}, {'input': 'Sevgili', 'root': 'sevgi', 'type': 'Noun'}, {'input': 'Annelerimizle', 'root': 'Anne', 'type': 'Noun'}, {'input': 'Annelerimizle', 'root': 'anne', 'type': 'Noun'}, {'input': 'Birlikte', 'root': 'birlikte', 'type': 'PostPositive'}, {'input': 'Birlikte', 'root': 'birlikte', 'type': 'Adverb'}, {'input': 'Birlikte', 'root': 'Birlik', 'type': 'Noun'}, {'input': 'Birlikte', 'root': 'birlik', 'type': 'Noun'}, {'input': 'Birlikte', 'root': 'bir', 'type': 'Adjective'}, {'input': 'Birlikte', 'root': 'bir', 'type': 'Numeral'}, {'input': 'Birlikte', 'root': 'birlik', 'type': 'Adjective'}, {'input': 'Birlikte', 'root': 'bir', 'type': 'Numeral'}]"
Bizlere Can Veren,"[{'input': 'Bizlere', 'root': 'biz', 'type': 'Pronoun'}, {'input': 'Bizlere', 'root': 'biz', 'type': 'Noun'}, {'input': 'Can', 'root': 'can', 'type': 'Adjective'}, {'input': 'Can', 'root': 'Can', 'type': 'Noun'}, {'input': 'Can', 'root': 'can', 'type': 'Noun'}, {'input': 'Veren', 'root': 'vermek', 'type': 'Verb'}, {'input': 'Veren', 'root': 'vere', 'type': 'Noun'}]"
Büyük Annelerimizin'de,"[{'input': 'Büyük', 'root': 'büyük', 'type': 'Adjective'}, {'input': 'Büyük', 'root': 'Büyük', 'type': 'Noun'}, {'input': 'Büyük', 'root': 'büyük', 'type': 'Noun'}, {'input': 'Annelerimizin'de', 'root': 'Annelerimizin'de', 'type': 'Noun'}]"
Ruhları Şad Olsun,"[{'input': 'Ruhları', 'root': 'ruh', 'type': 'Noun'}, {'input': 'Ruhları', 'root': 'ruh', 'type': 'Noun'}, {'input': 'Ruhları', 'root': 'ruh', 'type': 'Noun'}, {'input': 'Ruhları', 'root': 'ruh', 'type': 'Noun'}, {'input': 'Şad', 'root': 'şad', 'type': 'Adjective'}, {'input': 'Olsun', 'root': 'olmak', 'type': 'Verb'}]"
Toprakları,"[{'input': 'Toprakları', 'root': 'toprak', 'type': 'Noun'}, {'input': 'Toprakları', 'root': 'toprak', 'type': 'Noun'}, {'input': 'Toprakları', 'root': 'toprak', 'type': 'Noun'}, {'input': 'Toprakları', 'root': 'toprak', 'type': 'Noun'}, {'input': 'Toprakları', 'root': 'Toprak', 'type': 'Noun'}, {'input': 'Toprakları', 'root': 'Toprak', 'type': 'Noun'}, {'input': 'Toprakları', 'root': 'Toprak', 'type': 'Noun'}, {'input': 'Toprakları', 'root': 'Toprak', 'type': 'Noun'}, {'input': 'Toprakları', 'root': 'toprak', 'type': 'Adjective'}, {'input': 'Toprakları', 'root': 'toprak', 'type': 'Adjective'}, {'input': 'Toprakları', 'root': 'toprak', 'type': 'Adjective'}, {'input': 'Toprakları', 'root': 'toprak', 'type': 'Adjective'}]"
Çiçek Çiçek Açsın,"[{'input': 'Çiçek', 'root': 'çiçek', 'type': 'Noun'}, {'input': 'Çiçek', 'root': 'Çiçek', 'type': 'Noun'}, {'input': 'Çiçek', 'root': 'çiçek', 'type': 'Noun'}, {'input': 'Çiçek', 'root': 'Çiçek', 'type': 'Noun'}, {'input': 'Açsın', 'root': 'açmak', 'type': 'Verb'}, {'input': 'Açsın', 'root': 'aç', 'type': 'Adjective'}]"
