original_line,processed
Ömrüm senin senin olsun,"[{'input': 'Ömrüm', 'root': 'ömür', 'type': 'Noun'}, {'input': 'Ömrüm', 'root': 'ömür', 'type': 'Noun'}, {'input': 'senin', 'root': 'Se', 'type': 'Noun'}, {'input': 'senin', 'root': 'se', 'type': 'Noun'}, {'input': 'senin', 'root': 'se', 'type': 'Noun'}, {'input': 'senin', 'root': 'sen', 'type': 'Pronoun'}, {'input': 'senin', 'root': 'Se', 'type': 'Noun'}, {'input': 'senin', 'root': 'se', 'type': 'Noun'}, {'input': 'senin', 'root': 'se', 'type': 'Noun'}, {'input': 'senin', 'root': 'sen', 'type': 'Pronoun'}, {'input': 'olsun', 'root': 'olmak', 'type': 'Verb'}]"
gün daha geçti sensiz,"[{'input': 'gün', 'root': 'gün', 'type': 'Noun'}, {'input': 'daha', 'root': 'daha', 'type': 'Adverb'}, {'input': 'daha', 'root': 'daha', 'type': 'Noun'}, {'input': 'geçti', 'root': 'geçmek', 'type': 'Verb'}, {'input': 'geçti', 'root': 'Geçti', 'type': 'Noun'}, {'input': 'geçti', 'root': 'geç', 'type': 'Adjective'}, {'input': 'sensiz', 'root': 'sen', 'type': 'Pronoun'}]"
"Aşkım ağlıyor bak, sessiz sessiz","[{'input': 'Aşkım', 'root': 'aşk', 'type': 'Noun'}, {'input': 'Aşkım', 'root': 'aşk', 'type': 'Noun'}, {'input': 'ağlıyor', 'root': 'ağlamak', 'type': 'Verb'}, {'input': 'bak', 'root': 'bakmak', 'type': 'Verb'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'sessiz', 'root': 'sessiz', 'type': 'Adverb'}, {'input': 'sessiz', 'root': 'sessiz', 'type': 'Noun'}, {'input': 'sessiz', 'root': 'ses', 'type': 'Noun'}, {'input': 'sessiz', 'root': 'Sess', 'type': 'Noun'}, {'input': 'sessiz', 'root': 'sessiz', 'type': 'Adverb'}, {'input': 'sessiz', 'root': 'sessiz', 'type': 'Noun'}, {'input': 'sessiz', 'root': 'ses', 'type': 'Noun'}, {'input': 'sessiz', 'root': 'Sess', 'type': 'Noun'}]"
"Çare bensiz, çaresiz","[{'input': 'Çare', 'root': 'çare', 'type': 'Noun'}, {'input': 'bensiz', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'bensiz', 'root': 'ben', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'çaresiz', 'root': 'çare', 'type': 'Noun'}]"
Ümidim senin olsun,"[{'input': 'Ümidim', 'root': 'ümit', 'type': 'Noun'}, {'input': 'Ümidim', 'root': 'ümit', 'type': 'Noun'}, {'input': 'senin', 'root': 'Se', 'type': 'Noun'}, {'input': 'senin', 'root': 'se', 'type': 'Noun'}, {'input': 'senin', 'root': 'se', 'type': 'Noun'}, {'input': 'senin', 'root': 'sen', 'type': 'Pronoun'}, {'input': 'olsun', 'root': 'olmak', 'type': 'Verb'}]"
Sana gelen dertler benim,"[{'input': 'Sana', 'root': 'sanmak', 'type': 'Verb'}, {'input': 'Sana', 'root': 'san', 'type': 'Noun'}, {'input': 'Sana', 'root': 'sen', 'type': 'Pronoun'}, {'input': 'Sana', 'root': 'Sana', 'type': 'Noun'}, {'input': 'gelen', 'root': 'gelen', 'type': 'Adjective'}, {'input': 'gelen', 'root': 'gelmek', 'type': 'Verb'}, {'input': 'gelen', 'root': 'gele', 'type': 'Noun'}, {'input': 'gelen', 'root': 'ge', 'type': 'Noun'}, {'input': 'dertler', 'root': 'dert', 'type': 'Noun'}, {'input': 'dertler', 'root': 'dert', 'type': 'Noun'}, {'input': 'benim', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'benim', 'root': 'ben', 'type': 'Noun'}, {'input': 'benim', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'benim', 'root': 'ben', 'type': 'Noun'}]"
Mutluluk senin olsun,"[{'input': 'Mutluluk', 'root': 'mutlu', 'type': 'Adjective'}, {'input': 'Mutluluk', 'root': 'Mut', 'type': 'Noun'}, {'input': 'senin', 'root': 'Se', 'type': 'Noun'}, {'input': 'senin', 'root': 'se', 'type': 'Noun'}, {'input': 'senin', 'root': 'se', 'type': 'Noun'}, {'input': 'senin', 'root': 'sen', 'type': 'Pronoun'}, {'input': 'olsun', 'root': 'olmak', 'type': 'Verb'}]"
bindokuzyüzaltmış doğumlular,"[{'input': 'doğumlular', 'root': 'doğum', 'type': 'Noun'}, {'input': 'doğumlular', 'root': 'doğum', 'type': 'Noun'}]"
yıldız kanatlı birer kuştular,"[{'input': 'yıldız', 'root': 'yıldız', 'type': 'Adjective'}, {'input': 'yıldız', 'root': 'yıldız', 'type': 'Noun'}, {'input': 'kanatlı', 'root': 'kanat', 'type': 'Noun'}, {'input': 'birer', 'root': 'birer', 'type': 'Numeral'}, {'input': 'kuştular', 'root': 'kuş', 'type': 'Noun'}]"
doğru uçtular yanlış uçtular,"[{'input': 'doğru', 'root': 'doğru', 'type': 'Adjective'}, {'input': 'doğru', 'root': 'doğru', 'type': 'PostPositive'}, {'input': 'doğru', 'root': 'doğru', 'type': 'Noun'}, {'input': 'uçtular', 'root': 'uçmak', 'type': 'Verb'}, {'input': 'uçtular', 'root': 'uç', 'type': 'Adjective'}, {'input': 'uçtular', 'root': 'uç', 'type': 'Noun'}, {'input': 'yanlış', 'root': 'yanlış', 'type': 'Adjective'}, {'input': 'yanlış', 'root': 'yanlış', 'type': 'Adverb'}, {'input': 'yanlış', 'root': 'yanlış', 'type': 'Noun'}, {'input': 'uçtular', 'root': 'uçmak', 'type': 'Verb'}, {'input': 'uçtular', 'root': 'uç', 'type': 'Adjective'}, {'input': 'uçtular', 'root': 'uç', 'type': 'Noun'}]"
