original_line,processed
Has diye yutturduk en sahte malı,"[{'input': 'Has', 'root': 'has', 'type': 'Adjective'}, {'input': 'Has', 'root': 'has', 'type': 'Noun'}, {'input': 'diye', 'root': 'diye', 'type': 'PostPositive'}, {'input': 'diye', 'root': 'demek', 'type': 'Verb'}, {'input': 'yutturduk', 'root': 'yutturmak', 'type': 'Verb'}, {'input': 'yutturduk', 'root': 'yutturmak', 'type': 'Verb'}, {'input': 'yutturduk', 'root': 'yutmak', 'type': 'Verb'}, {'input': 'yutturduk', 'root': 'yutmak', 'type': 'Verb'}, {'input': 'yutturduk', 'root': 'yutturmak', 'type': 'Verb'}, {'input': 'yutturduk', 'root': 'yumak', 'type': 'Verb'}, {'input': 'yutturduk', 'root': 'yumak', 'type': 'Verb'}, {'input': 'yutturduk', 'root': 'yutmak', 'type': 'Verb'}, {'input': 'yutturduk', 'root': 'yumak', 'type': 'Verb'}, {'input': 'en', 'root': 'en', 'type': 'Adverb'}, {'input': 'en', 'root': 'en', 'type': 'Noun'}, {'input': 'sahte', 'root': 'sahte', 'type': 'Adjective'}, {'input': 'malı', 'root': 'mal', 'type': 'Noun'}, {'input': 'malı', 'root': 'mal', 'type': 'Noun'}]"
Sanki kendimizden alan var.,"[{'input': 'Sanki', 'root': 'sanki', 'type': 'Adverb'}, {'input': 'kendimizden', 'root': 'kendi', 'type': 'Pronoun'}, {'input': 'alan', 'root': 'almak', 'type': 'Verb'}, {'input': 'alan', 'root': 'ala', 'type': 'Noun'}, {'input': 'alan', 'root': 'alan', 'type': 'Noun'}, {'input': 'alan', 'root': 'âlâ', 'type': 'Adjective'}, {'input': 'alan', 'root': 'ala', 'type': 'Adjective'}, {'input': 'var', 'root': 'var', 'type': 'Adjective'}, {'input': 'var', 'root': 'varmak', 'type': 'Verb'}, {'input': 'var', 'root': 'var', 'type': 'Noun'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
haklı iş tuttuk doğru sanat,"[{'input': 'haklı', 'root': 'Hak', 'type': 'Noun'}, {'input': 'haklı', 'root': 'hak', 'type': 'Noun'}, {'input': 'haklı', 'root': 'hak', 'type': 'Adjective'}, {'input': 'iş', 'root': 'iş', 'type': 'Noun'}, {'input': 'tuttuk', 'root': 'tutmak', 'type': 'Verb'}, {'input': 'tuttuk', 'root': 'tutmak', 'type': 'Verb'}, {'input': 'tuttuk', 'root': 'tutmak', 'type': 'Verb'}, {'input': 'tuttuk', 'root': 'Tut', 'type': 'Noun'}, {'input': 'doğru', 'root': 'doğru', 'type': 'Adjective'}, {'input': 'doğru', 'root': 'doğru', 'type': 'PostPositive'}, {'input': 'doğru', 'root': 'doğru', 'type': 'Noun'}, {'input': 'sanat', 'root': 'sanat', 'type': 'Noun'}]"
"Ayağa baş dedik,kuyruğa kanat","[{'input': 'Ayağa', 'root': 'Ayağ', 'type': 'Noun'}, {'input': 'Ayağa', 'root': 'ayak', 'type': 'Noun'}, {'input': 'baş', 'root': 'baş', 'type': 'Noun'}, {'input': 'dedik', 'root': 'demek', 'type': 'Verb'}, {'input': 'dedik', 'root': 'demek', 'type': 'Verb'}, {'input': 'dedik', 'root': 'demek', 'type': 'Verb'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'kuyruğa', 'root': 'kuyruk', 'type': 'Noun'}, {'input': 'kanat', 'root': 'kanat', 'type': 'Noun'}, {'input': 'kanat', 'root': 'kanamak', 'type': 'Verb'}]"
Komaz yakamızı şol meşhur inat,"[{'input': 'yakamızı', 'root': 'yaka', 'type': 'Noun'}, {'input': 'meşhur', 'root': 'meşhur', 'type': 'Adjective'}, {'input': 'meşhur', 'root': 'Meşhur', 'type': 'Noun'}, {'input': 'inat', 'root': 'inat', 'type': 'Adjective'}, {'input': 'inat', 'root': 'inat', 'type': 'Noun'}]"
"Ağızda gem,arkamızda palan var.","[{'input': 'Ağızda', 'root': 'ağız', 'type': 'Noun'}, {'input': 'Ağızda', 'root': 'ağız', 'type': 'Noun'}, {'input': 'gem', 'root': 'ge', 'type': 'Noun'}, {'input': 'gem', 'root': 'gem', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'arkamızda', 'root': 'arka', 'type': 'Noun'}, {'input': 'arkamızda', 'root': 'arka', 'type': 'Adjective'}, {'input': 'palan', 'root': 'pala', 'type': 'Noun'}, {'input': 'palan', 'root': 'Pala', 'type': 'Noun'}, {'input': 'palan', 'root': 'palan', 'type': 'Noun'}, {'input': 'var', 'root': 'var', 'type': 'Adjective'}, {'input': 'var', 'root': 'varmak', 'type': 'Verb'}, {'input': 'var', 'root': 'var', 'type': 'Noun'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
kuru mantıkla kalmışız yayan,"[{'input': 'kuru', 'root': 'kuru', 'type': 'Adjective'}, {'input': 'kuru', 'root': 'kurumak', 'type': 'Verb'}, {'input': 'kuru', 'root': 'kur', 'type': 'Noun'}, {'input': 'kuru', 'root': 'kur', 'type': 'Noun'}, {'input': 'kuru', 'root': 'kuru', 'type': 'Noun'}, {'input': 'mantıkla', 'root': 'mantık', 'type': 'Noun'}, {'input': 'kalmışız', 'root': 'kalmak', 'type': 'Verb'}, {'input': 'kalmışız', 'root': 'kalmak', 'type': 'Verb'}, {'input': 'kalmışız', 'root': 'kal', 'type': 'Noun'}, {'input': 'yayan', 'root': 'yayan', 'type': 'Adjective'}, {'input': 'yayan', 'root': 'yayan', 'type': 'Adverb'}, {'input': 'yayan', 'root': 'yaymak', 'type': 'Verb'}, {'input': 'yayan', 'root': 'yaya', 'type': 'Noun'}]"
Menzile varır yerinde sayan,"[{'input': 'Menzile', 'root': 'menzil', 'type': 'Noun'}, {'input': 'Menzile', 'root': 'menzile', 'type': 'Noun'}, {'input': 'varır', 'root': 'varmak', 'type': 'Verb'}, {'input': 'varır', 'root': 'varmak', 'type': 'Verb'}, {'input': 'yerinde', 'root': 'yerinde', 'type': 'Adjective'}, {'input': 'yerinde', 'root': 'yerinde', 'type': 'Adverb'}, {'input': 'yerinde', 'root': 'yer', 'type': 'Noun'}, {'input': 'yerinde', 'root': 'yer', 'type': 'Noun'}, {'input': 'sayan', 'root': 'saymak', 'type': 'Verb'}, {'input': 'sayan', 'root': 'saya', 'type': 'Noun'}, {'input': 'sayan', 'root': 'sayamak', 'type': 'Verb'}]"
dünyada ab-ı hayat tatmayan,"[{'input': 'dünyada', 'root': 'dünyada', 'type': 'Adverb'}, {'input': 'dünyada', 'root': 'Dünya', 'type': 'Noun'}, {'input': 'dünyada', 'root': 'dünya', 'type': 'Noun'}, {'input': 'hayat', 'root': 'hayat', 'type': 'Noun'}, {'input': 'tatmayan', 'root': 'tatmak', 'type': 'Verb'}]"
"Beklesin,ahrette kevser falan var.","[{'input': 'Beklesin', 'root': 'beklemek', 'type': 'Verb'}, {'input': 'Beklesin', 'root': 'bek', 'type': 'Noun'}, {'input': 'Beklesin', 'root': 'bek', 'type': 'Adjective'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'kevser', 'root': 'Kevser', 'type': 'Noun'}, {'input': 'falan', 'root': 'falan', 'type': 'Adjective'}, {'input': 'falan', 'root': 'falan', 'type': 'Adverb'}, {'input': 'falan', 'root': 'falan', 'type': 'Noun'}, {'input': 'falan', 'root': 'fa', 'type': 'Noun'}, {'input': 'var', 'root': 'var', 'type': 'Adjective'}, {'input': 'var', 'root': 'varmak', 'type': 'Verb'}, {'input': 'var', 'root': 'var', 'type': 'Noun'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
