original_line,processed
şehri yağmuru,"[{'input': 'şehri', 'root': 'şehir', 'type': 'Noun'}, {'input': 'şehri', 'root': 'şehir', 'type': 'Noun'}, {'input': 'yağmuru', 'root': 'yağmur', 'type': 'Noun'}, {'input': 'yağmuru', 'root': 'yağmur', 'type': 'Noun'}]"
düşleri,"[{'input': 'düşleri', 'root': 'düş', 'type': 'Noun'}, {'input': 'düşleri', 'root': 'düş', 'type': 'Noun'}, {'input': 'düşleri', 'root': 'düş', 'type': 'Noun'}, {'input': 'düşleri', 'root': 'düş', 'type': 'Noun'}]"
aşkı kavgayı kederi,"[{'input': 'aşkı', 'root': 'aşk', 'type': 'Noun'}, {'input': 'aşkı', 'root': 'aşk', 'type': 'Noun'}, {'input': 'kavgayı', 'root': 'kavga', 'type': 'Noun'}, {'input': 'kederi', 'root': 'keder', 'type': 'Noun'}, {'input': 'kederi', 'root': 'keder', 'type': 'Noun'}]"
size bırakarak.,"[{'input': 'size', 'root': 'siz', 'type': 'Pronoun'}, {'input': 'size', 'root': 'Size', 'type': 'Noun'}, {'input': 'bırakarak', 'root': 'bırakmak', 'type': 'Verb'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
Kim dünyâda li-vechi'llâh esir âzâd eder,"[{'input': 'Kim', 'root': 'kim', 'type': 'Conjunction'}, {'input': 'Kim', 'root': 'kim', 'type': 'Pronoun'}, {'input': 'dünyâda', 'root': 'dünyada', 'type': 'Adverb'}, {'input': 'dünyâda', 'root': 'Dünya', 'type': 'Noun'}, {'input': 'dünyâda', 'root': 'dünya', 'type': 'Noun'}, {'input': 'esir', 'root': 'esirmek', 'type': 'Verb'}, {'input': 'esir', 'root': 'esir', 'type': 'Noun'}, {'input': 'âzâd', 'root': 'Azad', 'type': 'Noun'}, {'input': 'eder', 'root': 'etmek', 'type': 'Verb'}, {'input': 'eder', 'root': 'etmek', 'type': 'Verb'}, {'input': 'eder', 'root': 'eder', 'type': 'Noun'}]"
Âhiretde ol dahi âzâd olup görmez keder,"[{'input': 'ol', 'root': 'olmak', 'type': 'Verb'}, {'input': 'dahi', 'root': 'dâhi', 'type': 'Adjective'}, {'input': 'dahi', 'root': 'dahi', 'type': 'Conjunction'}, {'input': 'dahi', 'root': 'Dahi', 'type': 'Noun'}, {'input': 'dahi', 'root': 'dâhi', 'type': 'Noun'}, {'input': 'âzâd', 'root': 'Azad', 'type': 'Noun'}, {'input': 'olup', 'root': 'olmak', 'type': 'Verb'}, {'input': 'görmez', 'root': 'görmez', 'type': 'Adjective'}, {'input': 'görmez', 'root': 'görmek', 'type': 'Verb'}, {'input': 'görmez', 'root': 'görmek', 'type': 'Verb'}, {'input': 'keder', 'root': 'keder', 'type': 'Noun'}]"
"Kıyıda tahammülfersa çay bahçeleri,","[{'input': 'Kıyıda', 'root': 'kıyı', 'type': 'Noun'}, {'input': 'tahammülfersa', 'root': 'tahammülfersa', 'type': 'Adjective'}, {'input': 'çay', 'root': 'Çay', 'type': 'Noun'}, {'input': 'çay', 'root': 'çay', 'type': 'Noun'}, {'input': 'bahçeleri', 'root': 'bahçe', 'type': 'Noun'}, {'input': 'bahçeleri', 'root': 'bahçe', 'type': 'Noun'}, {'input': 'bahçeleri', 'root': 'bahçe', 'type': 'Noun'}, {'input': 'bahçeleri', 'root': 'bahçe', 'type': 'Noun'}, {'input': 'bahçeleri', 'root': 'Bahçe', 'type': 'Noun'}, {'input': 'bahçeleri', 'root': 'Bahçe', 'type': 'Noun'}, {'input': 'bahçeleri', 'root': 'Bahçe', 'type': 'Noun'}, {'input': 'bahçeleri', 'root': 'Bahçe', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
Sıcak güneşte parlayan semaverler,"[{'input': 'Sıcak', 'root': 'sıcak', 'type': 'Adjective'}, {'input': 'Sıcak', 'root': 'sıcak', 'type': 'Noun'}, {'input': 'güneşte', 'root': 'Güneş', 'type': 'Noun'}, {'input': 'güneşte', 'root': 'güneş', 'type': 'Noun'}, {'input': 'parlayan', 'root': 'parlamak', 'type': 'Verb'}, {'input': 'semaverler', 'root': 'semaver', 'type': 'Noun'}, {'input': 'semaverler', 'root': 'semaver', 'type': 'Noun'}]"
olmayacak..böyle gitmeyecek,"[{'input': 'olmayacak', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olmayacak', 'root': 'olmak', 'type': 'Verb'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}, {'input': 'böyle', 'root': 'böyle', 'type': 'Adjective'}, {'input': 'böyle', 'root': 'böyle', 'type': 'Adverb'}, {'input': 'gitmeyecek', 'root': 'gitmek', 'type': 'Verb'}, {'input': 'gitmeyecek', 'root': 'gitmek', 'type': 'Verb'}]"
"Çoraklaştı bayırlar, çoraklaştı yer","[{'input': 'Çoraklaştı', 'root': 'çorak', 'type': 'Adjective'}, {'input': 'Çoraklaştı', 'root': 'çorak', 'type': 'Noun'}, {'input': 'bayırlar', 'root': 'bayır', 'type': 'Noun'}, {'input': 'bayırlar', 'root': 'bayır', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'çoraklaştı', 'root': 'çorak', 'type': 'Adjective'}, {'input': 'çoraklaştı', 'root': 'çorak', 'type': 'Noun'}, {'input': 'yer', 'root': 'yemek', 'type': 'Verb'}, {'input': 'yer', 'root': 'yermek', 'type': 'Verb'}, {'input': 'yer', 'root': 'yer', 'type': 'Noun'}]"
hatırlar gibiyim çiçekleri....,"[{'input': 'hatırlar', 'root': 'hatırlamak', 'type': 'Verb'}, {'input': 'hatırlar', 'root': 'hatırlamak', 'type': 'Verb'}, {'input': 'hatırlar', 'root': 'Hatır', 'type': 'Noun'}, {'input': 'hatırlar', 'root': 'hatır', 'type': 'Noun'}, {'input': 'hatırlar', 'root': 'Hatır', 'type': 'Noun'}, {'input': 'hatırlar', 'root': 'hatır', 'type': 'Noun'}, {'input': 'gibiyim', 'root': 'gibi', 'type': 'PostPositive'}, {'input': 'gibiyim', 'root': 'gibi', 'type': 'PostPositive'}, {'input': 'çiçekleri', 'root': 'çiçek', 'type': 'Noun'}, {'input': 'çiçekleri', 'root': 'çiçek', 'type': 'Noun'}, {'input': 'çiçekleri', 'root': 'çiçek', 'type': 'Noun'}, {'input': 'çiçekleri', 'root': 'çiçek', 'type': 'Noun'}, {'input': 'çiçekleri', 'root': 'Çiçek', 'type': 'Noun'}, {'input': 'çiçekleri', 'root': 'Çiçek', 'type': 'Noun'}, {'input': 'çiçekleri', 'root': 'Çiçek', 'type': 'Noun'}, {'input': 'çiçekleri', 'root': 'Çiçek', 'type': 'Noun'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
uğultudan nasıl ayrılır kederim?,"[{'input': 'uğultudan', 'root': 'uğultu', 'type': 'Noun'}, {'input': 'nasıl', 'root': 'nasıl', 'type': 'Adjective'}, {'input': 'nasıl', 'root': 'nasıl', 'type': 'Adverb'}, {'input': 'ayrılır', 'root': 'ayrılmak', 'type': 'Verb'}, {'input': 'ayrılır', 'root': 'ayrılmak', 'type': 'Verb'}, {'input': 'ayrılır', 'root': 'ayırmak', 'type': 'Verb'}, {'input': 'ayrılır', 'root': 'ayırmak', 'type': 'Verb'}, {'input': 'kederim', 'root': 'keder', 'type': 'Noun'}, {'input': 'kederim', 'root': 'keder', 'type': 'Noun'}, {'input': '?', 'root': '?', 'type': 'Punctuation'}]"
"Savrulurken tipi kent üzerinde kışın,","[{'input': 'Savrulurken', 'root': 'savrulmak', 'type': 'Verb'}, {'input': 'Savrulurken', 'root': 'savurmak', 'type': 'Verb'}, {'input': 'tipi', 'root': 'tip', 'type': 'Noun'}, {'input': 'tipi', 'root': 'tip', 'type': 'Noun'}, {'input': 'tipi', 'root': 'tipi', 'type': 'Noun'}, {'input': 'tipi', 'root': 'tip', 'type': 'Adjective'}, {'input': 'tipi', 'root': 'tip', 'type': 'Adjective'}, {'input': 'kent', 'root': 'kent', 'type': 'Noun'}, {'input': 'üzerinde', 'root': 'üzerinde', 'type': 'Adverb'}, {'input': 'üzerinde', 'root': 'Üzer', 'type': 'Noun'}, {'input': 'üzerinde', 'root': 'Üzer', 'type': 'Noun'}, {'input': 'üzerinde', 'root': 'üzeri', 'type': 'Noun'}, {'input': 'üzerinde', 'root': 'üzeri', 'type': 'Noun'}, {'input': 'üzerinde', 'root': 'üzeri', 'type': 'Noun'}, {'input': 'kışın', 'root': 'kışın', 'type': 'Adverb'}, {'input': 'kışın', 'root': 'kış', 'type': 'Noun'}, {'input': 'kışın', 'root': 'kış', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
"Keder savrulsaydı ya..Hayır bilirim onu, kalır","[{'input': 'Keder', 'root': 'keder', 'type': 'Noun'}, {'input': 'savrulsaydı', 'root': 'savrulmak', 'type': 'Verb'}, {'input': 'savrulsaydı', 'root': 'savurmak', 'type': 'Verb'}, {'input': 'ya', 'root': 'ya', 'type': 'Conjunction'}, {'input': 'ya', 'root': 'ya', 'type': 'Interjection'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}, {'input': 'Hayır', 'root': 'hayır', 'type': 'Adjective'}, {'input': 'Hayır', 'root': 'hayır', 'type': 'Interjection'}, {'input': 'Hayır', 'root': 'hayır', 'type': 'Adverb'}, {'input': 'Hayır', 'root': 'hayır', 'type': 'Noun'}, {'input': 'bilirim', 'root': 'bilmek', 'type': 'Verb'}, {'input': 'bilirim', 'root': 'Bilir', 'type': 'Noun'}, {'input': 'bilirim', 'root': 'bilir', 'type': 'Adjective'}, {'input': 'bilirim', 'root': 'bilir', 'type': 'Adjective'}, {'input': 'bilirim', 'root': 'Bilir', 'type': 'Noun'}, {'input': 'onu', 'root': 'o', 'type': 'Pronoun'}, {'input': 'onu', 'root': 'o', 'type': 'Pronoun'}, {'input': 'onu', 'root': 'o', 'type': 'Adjective'}, {'input': 'onu', 'root': 'on', 'type': 'Numeral'}, {'input': 'onu', 'root': 'on', 'type': 'Numeral'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'kalır', 'root': 'kalmak', 'type': 'Verb'}, {'input': 'kalır', 'root': 'kalmak', 'type': 'Verb'}]"
